"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2780","RT @morninggloria: Fuck Harvey Weinstein and fuck Steve Wynn and if you think one deserves condemnation and the other doesn’t: fuck you",FALSE,0,NA,2018-01-27 20:11:27,FALSE,NA,"957345329065607168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","julzofthegarden",145,TRUE,FALSE,NA,NA
"2781","RT @mercycorps: We are working w/ local partners in #PuertoRico to distribute water filters, solar lights and cash aid. Mercy Corps is comm…",FALSE,0,NA,2018-01-27 20:11:27,FALSE,NA,"957345327983550465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BeTheChange800",22,TRUE,FALSE,NA,NA
"2782","RT @Cosmopolitan: Harvey Weinstein's former assistant was required to clean up after his sexual ""encounters"" https://t.co/CpDwArftsA https:…",FALSE,0,NA,2018-01-27 20:11:27,FALSE,NA,"957345326758875136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rhiggins00",7,TRUE,FALSE,NA,NA
"2783","RT @washingtonpost: Will RNC return Steve Wynn’s donations after calling on DNC to return Harvey Weinstein’s https://t.co/CmL04lo4wh",FALSE,0,NA,2018-01-27 20:11:15,FALSE,NA,"957345278503325696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mark738eis",3662,TRUE,FALSE,NA,NA
"2784","RT @politico: 1/6 Last month, @woellert and @smahaskey traveled to Puerto Rico to reveal a housing crisis generations in the making. Tens o…",FALSE,0,NA,2018-01-27 20:11:15,FALSE,NA,"957345278042034177",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CarolK47",108,TRUE,FALSE,NA,NA
"2785","RT @evice7: So let me get this straight. An Indonesian Christian that fled religious persecution, has applied multiple times for asylum, &amp;…",FALSE,0,NA,2018-01-27 20:11:14,FALSE,NA,"957345272664739841",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ReginaMKenny3",2452,TRUE,FALSE,NA,NA
"2786","@harvey_swaine @grailsnail @dezignerchat @DavidSh25131055 @Richard70364169 @SenMarkey @EPA @AARP I'm an AARP member and I'm very concerned!",FALSE,0,"harvey_swaine",2018-01-27 20:11:12,FALSE,"957274341321904128","957345263282245632","3438282209","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LEDGirlKC",0,FALSE,FALSE,NA,NA
"2787","RT @politico: 3/6 Even before Hurricane Maria hit, more than half of Puerto Rico’s houses were “informal.”  Some residents survive on rainw…",FALSE,0,NA,2018-01-27 20:11:11,FALSE,NA,"957345260316844034",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JuampiPa4",35,TRUE,FALSE,NA,NA
"2788","RT @TMZ: BREAKING: Court Clerk Slipped Meek Mill A Note Asking for Money During Probation Violation Hearing! Harvey explains. #MeekMill htt…",FALSE,0,NA,2018-01-27 20:11:10,FALSE,NA,"957345255635890176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","motibbs23",999,TRUE,FALSE,NA,NA
"2789","RT @AdventistReview: The Adventist Development and Relief Agency Dominica is currently transitioning from relief to rebuild, said the organ…",FALSE,0,NA,2018-01-27 20:11:08,FALSE,NA,"957345247738187776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JabnGab",6,TRUE,FALSE,NA,NA
"2790","RT @TheDemCoalition: ""The @GOP demanded the Democrats return donations received from Harvey Weinstein. Wynn gave millions to the GOP. Will…",FALSE,0,NA,2018-01-27 20:11:07,FALSE,NA,"957345245280260099",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","BurnettCynthia",946,TRUE,FALSE,NA,NA
"2791","RT @politico: 3/6 Even before Hurricane Maria hit, more than half of Puerto Rico’s houses were “informal.”  Some residents survive on rainw…",FALSE,0,NA,2018-01-27 20:11:06,FALSE,NA,"957345242059104257",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CarolK47",35,TRUE,FALSE,NA,NA
"2792","@yashar @yashar, can you opine about Hillary and Harvey’s personal relation? Did they like each other? Despise? Brunch every other Saturday?",FALSE,0,"yashar",2018-01-27 20:11:06,FALSE,"957110089541963778","957345240419102721","11744152","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","d_mccarthy37",0,FALSE,FALSE,NA,NA
